Question,Answer
 What should I do if a police inspector refuses to register my case?," Refusal to Register a Case:
If a police inspector refuses to register your case, you can:
* Appeal to the Deputy Superintendent of Police (DSP) or Superintendent of Police (SP)
* File a complaint with the State Police Complaints Authority
* Approach a higher authority or a court for assistance"
 How can I complain against a police officer who is misbehaving?," Complaint Against a Police Officer:
To complain against a misbehaving police officer, you can:
* Visit the local police station and submit a written complaint
* Contact the Deputy Superintendent of Police (DSP) or Assistant Commissioner of Police (ACP)
* Call the Tamil Nadu Police Complaint Toll-Free Number: 87544 00550"
 Who is the supervising authority of a Police Inspector?," Supervising Authority of a Police Inspector:
The supervising authority of a Police Inspector is the Deputy Superintendent of Police (DSP) or Assistant Commissioner of Police (ACP)."
 How do I contact the Superintendent of Police (SP) or Commissioner?," Contacting the Superintendent of Police (SP) or Commissioner:
To contact the SP or Commissioner, you can:
* Visit the district police headquarters or city police commissioner's office
* Call the office phone number listed on the Tamil Nadu Police website
* Email the SP or Commissioner through the official email ID provided on the website"
 What are my rights if I am being questioned by the police?," Rights During Police Questioning:
You have the right to:
- Remain silent
- Ask for a lawyer
- Know the reason for questioning
- Be treated with respect and dignity
- Receive a copy of any statement you make"
 What is the chain of command in Tamil Nadu Police?," Tamil Nadu Police Chain of Command:
1. Director General of Police (DGP)
2. Inspector General of Police (IGP)
3. Deputy Inspector General of Police (DIG)
4. Superintendent of Police (SP)
5. Deputy Superintendent of Police (DSP)
6. Assistant Superintendent of Police (ASP)"
 Can I record my conversation with a police officer?," Recording Conversations with Police:
You can record your conversation with a police officer, but it's recommended to inform the officer beforehand. However, please note that laws regarding recording conversations may vary, and it's best to check with the Tamil Nadu Police Department for specific guidelines."
 What should I do if a police officer demands a bribe?," Bribery by Police Officer:
If a police officer demands a bribe, stay calm and:
* Refuse to pay
* Note the officer's name and badge number
* Report the incident to a senior officer or the Vigilance Department
* You can also contact the Tamil Nadu Police Helpline (87544 87544)"
 How can I identify a genuine police officer?," Identifying a Genuine Police Officer:
To identify a genuine police officer:
* Check for a valid police ID card
* Verify the officer's uniform and badge
* Ask for their name and designation
* Contact the local police station to confirm their identity"
 What are the working hours of police stations in Tamil Nadu?," Police Station Working Hours:
Police stations in Tamil Nadu are open 24/7. However, for non-emergency services like reporting a complaint or obtaining a certificate, the working hours are typically from 9:00 AM to 5:00 PM, Monday to Friday."
 Can I request for a female police officer to handle my case?," Request for Female Police Officer:
Yes, you can request a female police officer to handle your case. According to Tamil Nadu police guidelines, you have the right to request a female officer, especially in cases of sensitive or women-related issues."
 What should I do if I receive a police notice?," Receiving a Police Notice:
If you receive a police notice, read it carefully and understand the requirements. You may need to appear at the police station or provide documents. It's recommended to seek clarification from the issuing officer if you have any doubts."
 What is the proper way to address different ranks of police officers?," Addressing Police Officers:
When interacting with police officers, address them by their rank, such as:
- Constable: Constable/PC (Police Constable)
- Sub-Inspector: SI (Sub-Inspector)
- Inspector: Inspector
- Senior Officers: Sir/Ma'am or their designated title."
 Can police enter my house without a warrant?," Question 1: Can police enter my house without a warrant?
Generally, no. Police need a warrant to enter your house, except in emergency situations or with your consent. (As per Tamil Nadu Police guidelines)"
 What is a police verification and when is it required?," Question 2: What is a police verification and when is it required?
Police verification is a background check. It's required for passport applications, job interviews, and other sensitive positions, to verify an individual's character and antecedents."
 What should I do if I witness police brutality?," Question 3: What should I do if I witness police brutality?
If you witness police brutality, stay safe and document the incident if possible. Report it to a senior police officer or the Tamil Nadu Police Complaint Authority. You can also file a complaint online or at the nearest police station."
 How do I file a petition to the Commissioner or DGP?," Filing a Petition:
To file a petition, visit the police commissioner's or DGP's office during working hours. Submit a written petition with your name, address, and contact details. Clearly state the issue and provide supporting documents."
 What are the visiting hours for meeting senior police officials?," Visiting Hours:
Visiting hours for senior police officials are usually between 10:00 AM and 1:00 PM, Monday to Friday. It's best to call ahead and confirm the timings."
 What documents should I carry when visiting a police station?," Documents to Carry:
When visiting a police station, carry a valid ID proof (Aadhaar card, voter ID, etc.), a copy of your complaint or petition, and any relevant documents related to your case."
 What is the protocol for a police officer visiting my residence?," Protocol for Police Visit:
If a police officer visits your residence, they must:
* Identify themselves and show their badge
* Explain the purpose of their visit
* Provide a warrant or written permission, if required
* Respect your privacy and rights"
 What are my rights if I am arrested?," Rights if Arrested:
If arrested, you have the right to:
* Know the reason for arrest
* Contact a family member or lawyer
* Remain silent
* Request medical attention, if needed"
 Can police arrest me without a warrant?," Arrest without Warrant:
Police can arrest without a warrant in certain situations, such as:
* If they witness a crime
* If you're suspected of a serious offense
* If you're a threat to public safety
Note: The police must follow Tamil Nadu Police guidelines and the Code of Criminal Procedure, 1973."
 How long can police detain me before producing me before a magistrate?," Detention Time Limit
The police can detain you for up to 24 hours before producing you before a magistrate, as per the Code of Criminal Procedure (CrPC)."
 What is anticipatory bail and how can I apply for it?," Anticipatory Bail
Anticipatory bail is a provision that allows you to seek bail before arrest. You can apply for it by filing an application in the court, usually through a lawyer, stating the reasons why you think you may be arrested and why you should be granted bail."
 What is Section 41A CrPC notice?," Section 41A CrPC Notice
Section 41A CrPC notice is a notice issued by the police to a person suspected of a minor offense, asking them to appear before the police station. It's an alternative to arrest, and you must comply with the notice to avoid arrest."
 Can minors be arrested and detained in Tamil Nadu?," Minors and Arrest in Tamil Nadu
In Tamil Nadu, minors (below 18 years) can be apprehended, but not arrested. They are dealt with under the Juvenile Justice Act. If a minor is involved in a crime, they will be produced before the Juvenile Justice Board."
 What should I do if someone I know has been arrested?," What to Do if Someone is Arrested
If someone you know is arrested, contact a lawyer and inform their family. You can also visit the police station where they were taken to gather information about the arrest and the charges filed."
 How can I find if someone has been arrested and where they are being held?," Locating an Arrested Person
To find someone who has been arrested, contact the local police station where the arrest was made. You can also check the Tamil Nadu Police website or visit the police station in person to inquire about the person's whereabouts and the charges against them."
 What is police custody vs. judicial custody?," Police Custody vs. Judicial Custody:
Police custody: Held by police for interrogation (up to 15 days).
Judicial custody: Held in jail under court supervision (after 15 days or if police custody ends)."
 What is the process for getting regular bail?," Process for Regular Bail:
1. Arrested person applies for bail.
2. Court considers application and sets conditions.
3. Bail is granted if conditions met."
 Can police seize my property during investigation?," Police Seizing Property:
Yes, police can seize property during investigation with a warrant or under certain circumstances. A receipt is given, and the property is returned if not used as evidence."
 What are my rights regarding medical examination after arrest?," Medical Examination after Arrest:
You have the right to a medical examination by a doctor of your choice or a government doctor. If you're injured, you can request medical attention. The police must provide you with medical care if you're unwell or injured."
 Can I refuse to give my fingerprints or DNA sample to police?," Refusing Fingerprints or DNA Sample:
No, you cannot refuse to give your fingerprints or DNA sample to the police if you're arrested or detained. According to the Tamil Nadu Police guidelines, you're required to provide biometric data, including fingerprints and DNA samples, as part of the investigation process."
 What is the role of a duty lawyer at the police station?," Role of a Duty Lawyer:
A duty lawyer provides free legal advice and representation to arrested persons at the police station. They can help you understand your rights, explain the charges against you, and assist in the investigation process. Duty lawyers are available to ensure your rights are protected during police custody."
 How can I access free legal aid if arrested?," Access to Free Legal Aid:
If arrested, you can access free legal aid through the Tamil Nadu Legal Services Authority. Inform the police that you want to consult a lawyer, and they will arrange for a legal aid lawyer to meet you."
 What is the difference between summons and warrant?," Summons vs Warrant:
A summons is a notice to appear in court, while a warrant is a court order for your arrest. A summons is usually issued for minor offenses, while a warrant is issued for more serious crimes or when you fail to respond to a summons."
 What should I do if I receive a court summons?," Receiving a Court Summons:
If you receive a court summons, read it carefully and note the date, time, and place of the hearing. Attend the hearing as scheduled, and consider consulting a lawyer if you need guidance. Failure to respond may lead to further legal action."
 Can police force me to sign any document?," 1. Can police force me to sign any document?
No, the police cannot force you to sign any document. You have the right to read and understand the contents before signing."
 Can I be arrested for a bailable offense?," 2. Can I be arrested for a bailable offense?
Yes, you can be arrested for a bailable offense, but you have the right to be released on bail by the police or a court."
 What is Section 107/151 preventive detention?," 3. What is Section 107/151 preventive detention?
Section 107/151 of the CrPC allows the police to detain a person to prevent a breach of peace or disturbance of public order, but only with a magistrate's approval and for a limited period."
 How do I report a cybercrime in Tamil Nadu?," Reporting a Cybercrime in Tamil Nadu:
To report a cybercrime, visit the Tamil Nadu Police Cyber Crime Cell website or call 1930 (Cyber Crime Helpline). You can also file a complaint at your local police station."
 What evidence should I preserve before reporting a crime?," Preserving Evidence:
Before reporting a crime, preserve any relevant evidence, such as:
- Screenshots of online transactions or messages
- Emails or chat logs
- Bank statements or transaction records
- Any other relevant documents or records"
 How do I report a missing person in Tamil Nadu?," Reporting a Missing Person in Tamil Nadu:
To report a missing person, visit your local police station and provide details about the missing person, including:
- Name and age
- Last seen location and time
- Contact information of family members or friends
- Any other relevant information
You can also call 100 (Tamil Nadu Police Helpline) for assistance."
 What is the procedure to report a stolen vehicle?," Reporting a Stolen Vehicle:
To report a stolen vehicle, visit the nearest police station and provide required documents: vehicle registration, insurance, and ID proof. Fill out the FIR form and submit it to the officer in charge."
 How soon will the investigation start after filing an FIR?," Investigation Start Time:
After filing an FIR, the investigation will start immediately. The police will verify the complaint and begin the inquiry process within 24 hours."
 Can I request for a specific officer to investigate my case?," Requesting a Specific Officer:
No, you cannot request a specific officer to investigate your case. The officer in charge will assign the case to an available officer based on workload and expertise."
 How do I get information about the progress of my case investigation?," Question 1: Case Investigation Progress
To get information about your case investigation, you can:
* Contact the investigating officer directly
* Visit the police station where the case was filed
* Check the status online, if available, on the Tamil Nadu Police website"
 What happens if the police close my case citing lack of evidence?," Question 2: Case Closure
If the police close your case due to lack of evidence, you can:
* Request a review of the case
* File a complaint with a higher authority, such as the Superintendent of Police
* Consult a lawyer for further guidance"
 What is a charge sheet and when is it filed?," Question 3: Charge Sheet
A charge sheet is a document filed by the police with the court, detailing the charges against the accused. It is filed after the investigation is complete, usually within 60-90 days, and when the police have sufficient evidence to proceed with the case."
 Can I get a copy of the investigation report?," Investigation Report:
You can request a copy of the investigation report from the concerned police station. However, it may be provided only after the investigation is complete and with the permission of the authorities."
 How do I report domestic violence?," Reporting Domestic Violence:
To report domestic violence, call the Tamil Nadu Police helpline (1091) or visit your local police station. You can also contact the National Domestic Violence Helpline (181) for support."
 What should I do if I am a witness to a crime?," Witness to a Crime:
If you are a witness to a crime, immediately contact the nearest police station or call the Tamil Nadu Police helpline (100). Provide as much detail as possible about the incident, and cooperate with the investigating officers."
 Can I add more details to my FIR after it has been registered?," Adding Details to FIR:
Yes, you can add more details to your FIR after it has been registered. You can visit the police station where the FIR was filed and provide additional information to the investigating officer."
 How do I report suspicious activities in my neighborhood?," Reporting Suspicious Activities:
To report suspicious activities, call the Tamil Nadu Police helpline (100) or visit your local police station. Provide as much detail as possible about the activity, including date, time, and location."
 What is the procedure to file a complaint about noise pollution?," Filing Noise Pollution Complaint:
To file a complaint about noise pollution, contact your local police station or the Tamil Nadu Pollution Control Board. You can also call the police helpline (100) or submit a complaint online through the Tamil Nadu Police website. Provide details about the source and duration of the noise."
 How do I report illegal activities like gambling or bootlegging?," Reporting Illegal Activities:
To report illegal activities like gambling or bootlegging, call the Tamil Nadu Police Department's toll-free number: 100. You can also visit the nearest police station or use the TN Police mobile app to submit a complaint."
 What is the procedure to report a road accident?," Reporting a Road Accident:
To report a road accident, call 100 or 108 (Tamil Nadu Emergency Services) immediately. Provide the location and details of the accident. You can also visit the nearest police station to file a report (FIR)."
 How do I report a lost document or item?," Reporting a Lost Document or Item:
To report a lost document or item, visit the nearest police station and file a complaint (FIR). Provide a detailed description of the lost item and any relevant documents. You can also use the TN Police mobile app to report a lost item."
 What is the process for filing a property dispute complaint?," Filing a Property Dispute Complaint:
To file a property dispute complaint, visit your local police station and provide details of the dispute. You will need to submit a written complaint with supporting documents, such as property deeds and witness statements. The police will then investigate and guide you on the next steps."
 How do I report illegal construction or encroachment?," Reporting Illegal Construction or Encroachment:
To report illegal construction or encroachment, contact your local police station or the Tamil Nadu Police helpline (8544). Provide details of the location and nature of the encroachment. You can also submit a written complaint with supporting evidence, such as photos and documents."
 What is the role of All Women Police Stations (AWPS) in Tamil Nadu?," Role of All Women Police Stations (AWPS):
All Women Police Stations (AWPS) in Tamil Nadu are dedicated to handling crimes against women and children. They provide a safe and supportive environment for victims to report crimes, such as domestic violence, harassment, and abuse. AWPS are staffed by female police officers and provide counseling, medical, and legal support to victims."
 Where are All Women Police Stations located in Tamil Nadu?," Location of All Women Police Stations:
All Women Police Stations are located in all districts of Tamil Nadu, with a total of 199 stations. They can be found in major cities and towns, including Chennai, Coimbatore, Madurai, and Trichy."
 What kind of cases are handled by All Women Police Stations?," Cases handled by All Women Police Stations:
These stations handle cases related to women and children, including domestic violence, harassment, abuse, and other crimes against women."
 Can men approach All Women Police Stations with complaints?," Men approaching All Women Police Stations:
Yes, men can approach All Women Police Stations with complaints related to crimes against women, such as reporting a crime against a female family member or friend. However, for other general complaints, men are advised to approach regular police stations."
 What is the procedure to file a domestic violence complaint?," Filing a Domestic Violence Complaint:
To file a domestic violence complaint, visit the nearest police station or call 100. Provide details of the incident, and a complaint will be registered. You can also contact the Tamil Nadu State Commission for Women or a local NGO for support."
 What is the Dowry Prohibition Act and how is it enforced?," Dowry Prohibition Act:
The Dowry Prohibition Act (1961) prohibits giving or taking dowry. To report dowry harassment, file a complaint at the nearest police station or call 100. The police will investigate and take action under the Act."
 How can women report harassment in public places?," Reporting Harassment in Public Places:
To report harassment in public places, call 100 or visit the nearest police station. You can also use the Tamil Nadu Police's mobile app to report incidents. Provide details of the incident, and the police will take necessary action."
 What is the helpline number for women in distress in Tamil Nadu?," Helpline Number for Women in Distress:
The helpline number for women in distress in Tamil Nadu is 181."
 What is the Tamil Nadu Police Kavalan SOS app and how does it work?," Tamil Nadu Police Kavalan SOS App:
The Kavalan SOS app is a safety app for women. It allows users to send SOS alerts to police in emergency situations. The app sends location details to the police control room, enabling quick response."
 What protection can police provide in cases of threats to women?," Protection for Women in Cases of Threats:
In cases of threats to women, police can provide protection by registering a complaint, providing security, and taking action against the accused. Women can also apply for a restraining order or protection order under the Tamil Nadu Police guidelines."
 How do I file a complaint under the Sexual Harassment of Women at Workplace Act?," Filing a Complaint under the Sexual Harassment of Women at Workplace Act:
To file a complaint, contact your company's Internal Complaints Committee (ICC) or Local Complaints Committee (LCC) if your company doesn't have an ICC. You can also file a complaint with the police or the Tamil Nadu State Commission for Women."
 What actions can police take in cases of stalking?," Police Actions in Stalking Cases:
Police can register an FIR under Section 354D of the IPC, conduct investigations, and arrest the accused if necessary. They can also provide protection to the victim and monitor the accused's activities."
 What is the protocol for medical examination in sexual assault cases?," Medical Examination in Sexual Assault Cases:
The protocol involves a medical examination by a qualified doctor, preferably a female doctor, at a government hospital or authorized medical facility. The examination is conducted with the victim's consent, and a report is prepared and submitted to the police. The victim's privacy and dignity are respected throughout the process."
 Are female officers available 24/7 at regular police stations?," Female Officers Availability
Female officers are available at all-women police stations (Mahila Police Stations) and some regular police stations, but not all regular stations have female officers available 24/7."
 What is a protection order and how can I get one?," Protection Order
A protection order is a court order to protect a person from domestic violence or harassment. You can get one by filing a petition under the Protection of Women from Domestic Violence Act, 2005, at a local court or through a women's cell at a police station."
 How are cases of matrimonial disputes handled by police?," Matrimonial Disputes
Matrimonial disputes are handled by police through counseling and mediation. Police will try to resolve the issue amicably, and if necessary, refer the case to a family counseling center or a court under the relevant laws, such as the Hindu Marriage Act or the Domestic Violence Act."
 What is the role of Family Counseling Centers at police stations?," Family Counseling Centers:
The role of Family Counseling Centers at police stations is to provide counseling and mediation services to resolve family disputes and domestic issues. Trained counselors help families resolve conflicts and work towards reconciliation."
 How do I report online harassment or cyberstalking?," Reporting Online Harassment:
To report online harassment or cyberstalking, visit the nearest police station or cybercrime cell and file a complaint. You can also report incidents to the National Cyber Crime Reporting Portal or call the cybercrime helpline."
 What is the procedure for filing a complaint against husband or in-laws?," Filing Complaint against Husband or In-laws:
To file a complaint against your husband or in-laws, visit the nearest police station and provide a written complaint with supporting evidence. The police will guide you through the process and provide necessary support. You can also contact the All-Women Police Station or the Mahila Helpline for assistance."
 What support services does Tamil Nadu Police offer for victims of gender-based violence?," Support Services for Victims of Gender-Based Violence:
Tamil Nadu Police offers support services through All-Women Police Stations and Women Help Desks. These provide a safe and confidential space for victims to report crimes and receive assistance."
 How do I report child abuse or neglect to Tamil Nadu Police?," Reporting Child Abuse or Neglect:
To report child abuse or neglect, contact the local police station or call the Childline helpline at 1098. You can also report online through the Tamil Nadu Police website or the National Commission for Protection of Child Rights (NCPCR) website."
 What is POCSO Act and how are such cases handled?," POCSO Act:
The POCSO (Protection of Children from Sexual Offences) Act is a law that protects children from sexual abuse. Tamil Nadu Police handles POCSO cases through specialized units and follows procedures to ensure the safety and well-being of the child victim. Cases are investigated and prosecuted in a child-friendly manner."
 What is the role of Anti-Human Trafficking Units in child protection?," Role of Anti-Human Trafficking Units in Child Protection:
The Anti-Human Trafficking Units in Tamil Nadu work to prevent and investigate cases of child trafficking. They rescue and rehabilitate victims, and prosecute offenders."
 How do I report child labor?," Reporting Child Labor:
To report child labor, contact the Tamil Nadu Childline at 1098 or the local police station. You can also report online through the National Child Labor Portal."
 What happens when a juvenile commits an offense?," Juvenile Offenses:
When a juvenile commits an offense, they are dealt with by the Juvenile Justice Board. The board aims to rehabilitate and reform the juvenile, rather than punish them. The juvenile's age, circumstances, and best interests are considered in the proceedings."
 Can children be detained at police stations?," 1. Can children be detained at police stations?
No, children cannot be detained at police stations. According to the Juvenile Justice Act, children in conflict with the law or in need of care and protection should be taken to a designated child welfare facility or a juvenile home."
 What is the procedure for recording a child victim's statement?," 2. What is the procedure for recording a child victim's statement?
A child victim's statement should be recorded by a trained officer, preferably a woman, in a child-friendly environment. The statement should be recorded in the presence of a parent, guardian, or a social worker, and should be video-recorded to prevent re-victimization."
 Who are Child Welfare Police Officers and what do they do?," 3. Who are Child Welfare Police Officers and what do they do?
Child Welfare Police Officers are specially trained police officers who handle cases related to children. They are responsible for ensuring the safety and well-being of children, investigating cases of child abuse and exploitation, and providing support and counseling to child victims."
 How does the police coordinate with Child Welfare Committee?," Coordination with Child Welfare Committee:
The police coordinate with the Child Welfare Committee (CWC) to ensure the safety and well-being of children in need of care and protection. The police inform the CWC about cases involving child victims or offenders, and the CWC provides guidance on rehabilitation and restoration."
 What is the process when a child goes missing?," Process for Missing Child:
When a child goes missing, the police:
1. Register a missing person complaint
2. Conduct a preliminary investigation
3. Alert nearby police stations and issue a lookout notice
4. Inform the Child Welfare Committee (if necessary)"
 What are the special provisions for handling cases involving children?," Special Provisions for Children:
The police follow special provisions for handling cases involving children, including:
* Using child-friendly language and procedures
* Ensuring the presence of a parent or guardian during questioning
* Providing counseling and support services
* Following the Juvenile Justice Act guidelines for child offenders or victims."
 How do I report online exploitation of children?," Reporting Online Exploitation of Children:
To report online exploitation of children, contact the Cyber Crime Cell of Tamil Nadu Police at 1930 (toll-free) or email: cybercrime@tn.gov.in. You can also report to the National Cyber Crime Reporting Portal."
 What is Operation Smile/Operation Muskaan conducted by Tamil Nadu Police?," Operation Smile/Operation Muskaan:
Operation Smile/Operation Muskaan is an initiative by Tamil Nadu Police to rescue and rehabilitate missing children. It aims to reunite them with their families and provide support."
 How can I get information about missing children?," Information about Missing Children:
For information about missing children, contact the local police station or the Tamil Nadu Police Missing Persons Cell at 044-28447777. You can also check the Tamil Nadu Police website or the National Tracking System for Missing Children."
 What is the role of police in cases of child custody disputes?," Child Custody Disputes:
The police role is limited in child custody disputes. They can help in locating a missing child or preventing abduction. However, custody decisions are made by the court. Police may assist in enforcing court orders."
 How do police handle cases of children in conflict with law?," Children in Conflict with Law:
Police handle cases of children in conflict with law (under 18) as per the Juvenile Justice Act. They arrest, produce the child before the Juvenile Justice Board, and provide support during the inquiry process."
 What is the age of criminal responsibility in India?," Age of Criminal Responsibility:
In India, the age of criminal responsibility is 18 years for adults and 16-18 years for heinous crimes under the Juvenile Justice Act. Children below 7 years are not considered criminally liable."
 How do I report illegal adoption or child trafficking?," Reporting Illegal Adoption or Child Trafficking:
To report illegal adoption or child trafficking, contact the Tamil Nadu Police Department's Childline at 1098 or the local police station. You can also reach out to the District Child Protection Unit (DCPU) or the State Adoption Resource Agency (SARA)."
 What are Juvenile Justice Boards and how do they function?," Juvenile Justice Boards:
Juvenile Justice Boards (JJBs) are courts that deal with juvenile offenders. They function to provide care, protection, and rehabilitation to children in conflict with the law. JJBs consist of a magistrate and two social workers, ensuring a child-friendly approach to justice."
 What is the procedure for age determination in juvenile cases?," Age Determination in Juvenile Cases:
In Tamil Nadu, age determination is done through a medical examination by a qualified doctor. The court may also consider other evidence, such as school records or birth certificates. The age determination is crucial to decide whether the child should be treated as a juvenile or an adult under the law."
 How do I report drug-related activities in my area?," Reporting Drug-Related Activities:
To report drug-related activities, contact your local police station or call the Tamil Nadu Police Department's toll-free number: 100. You can also report anonymously through the police department's website or mobile app."
 What is the Narcotics Control Bureau and how does it work with local police?," Narcotics Control Bureau (NCB):
The NCB is a central agency that works with local police to prevent and investigate drug-related crimes. They share intelligence and coordinate efforts to combat drug trafficking and abuse."
 What penalties exist for possession of different quantities of drugs?," Penalties for Drug Possession:
Penalties vary based on the quantity and type of drug. Generally, possession of small quantities may lead to imprisonment (up to 1 year) and fines. Larger quantities can result in imprisonment (up to 10-20 years) and heavier fines, under the Narcotic Drugs and Psychotropic Substances Act, 1985."
 How does Tamil Nadu Police differentiate between users and traffickers?," Differentiation between Users and Traffickers:
The Tamil Nadu Police differentiates between users and traffickers based on the quantity of drugs seized and the intent to sell or distribute. Users are typically those found with small quantities for personal consumption, while traffickers are those found with larger quantities and evidence of intent to sell."
 What is the NDPS Act and what offenses does it cover?," NDPS Act:
The NDPS (Narcotic Drugs and Psychotropic Substances) Act is a law that covers offenses related to drug abuse, trafficking, and possession. It includes offenses such as possession, sale, purchase, and manufacture of banned substances."
 How can students report drug use in educational institutions?," Reporting Drug Use in Educational Institutions:
Students can report drug use in educational institutions by informing their school/college authorities, such as the principal or counselor, who will then contact the police or a designated anti-drug helpline. Reports can be made anonymously to protect the student's identity."
 What rehabilitation services can police refer drug users to?," Rehabilitation Services for Drug Users:
The Tamil Nadu Police can refer drug users to de-addiction centers and rehabilitation programs run by the government and NGOs. These services provide counseling, treatment, and support for recovery."
 How do I report sale of prescription drugs being misused as narcotics?," Reporting Misuse of Prescription Drugs:
To report the sale of prescription drugs being misused as narcotics, contact the local police station or call the Tamil Nadu Police helpline (1090). You can also report anonymously through the police department's website or mobile app."
 What is the Anti-Narcotics Wing of Tamil Nadu Police?," Anti-Narcotics Wing of Tamil Nadu Police:
The Anti-Narcotics Wing is a specialized unit of the Tamil Nadu Police that deals with narcotics-related crimes. It works to prevent drug trafficking, arrest offenders, and provide support for drug users to undergo rehabilitation."
 How are drug seizures handled and documented?," Drug Seizures:
Drug seizures are handled by the Tamil Nadu Police according to the Narcotic Drugs and Psychotropic Substances (NDPS) Act, 1985. Seized drugs are documented, weighed, and stored in a secure facility. A seizure report is prepared, and samples are sent for forensic analysis."
 What should I do if I suspect my family member is involved in drug trafficking?," Suspected Family Member Involvement:
If you suspect a family member is involved in drug trafficking, contact the Tamil Nadu Police anonymously or visit the nearest police station to report your concerns. You can also call the police helpline (100) for assistance."
 How does Tamil Nadu Police handle cases of cannabis cultivation?," Cannabis Cultivation:
The Tamil Nadu Police handles cannabis cultivation cases under the NDPS Act. If cultivation is suspected, a team will conduct a raid, seize the plants, and arrest those involved. Cases are then investigated and prosecuted according to the law."
 What are the signs of illegal drug manufacturing that I should report?," Signs of Illegal Drug Manufacturing:
Report suspicious activities like strong chemical smells, unusual equipment, or frequent visitors at odd hours. Other signs include blacked-out windows, excessive security, and unusual waste disposal."
 How can business owners report drug activities near their establishments?," Reporting Drug Activities:
Business owners can report drug activities near their establishments by calling the Tamil Nadu Police helpline (100) or visiting the nearest police station. They can also use the Tamil Nadu Police mobile app to submit a complaint."
